epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.677,1.41539,2.82325,1.29322,0.47506,0.65129,0.5923,0.44155,1.13681,1.18356,1.13083,6.6487e-05,6.6487e-05,6.6487e-05
2,216.809,1.10901,1.38622,1.11836,0.68538,0.79426,0.8057,0.63567,0.97154,0.80765,1.04362,0.000131835,0.000131835,0.000131835
3,311.422,0.99433,1.11104,1.06279,0.75611,0.82486,0.85303,0.69422,0.91836,0.71947,1.03225,0.000195864,0.000195864,0.000195864
4,405.11,0.93076,0.9536,1.03411,0.83086,0.86809,0.90049,0.74148,0.86866,0.62518,1.00958,0.00019406,0.00019406,0.00019406
5,499.684,0.91037,0.87997,1.02193,0.87033,0.88628,0.92183,0.75943,0.85191,0.54891,0.98806,0.00019208,0.00019208,0.00019208
6,592.998,0.87275,0.8031,1.00951,0.86165,0.90542,0.93045,0.77813,0.79471,0.49692,0.96323,0.0001901,0.0001901,0.0001901
7,686.34,0.81145,0.71892,0.98011,0.90016,0.86914,0.92214,0.78744,0.77805,0.48162,0.97014,0.00018812,0.00018812,0.00018812
8,779.71,0.77926,0.6936,0.97819,0.88693,0.90884,0.92876,0.77774,0.76157,0.48991,0.94876,0.00018614,0.00018614,0.00018614
9,874.592,0.75195,0.65425,0.9591,0.94516,0.89644,0.94706,0.81996,0.70192,0.44785,0.92365,0.00018416,0.00018416,0.00018416
10,971.507,0.72991,0.63301,0.94817,0.93243,0.93343,0.97187,0.8483,0.68647,0.39947,0.91419,0.00018218,0.00018218,0.00018218
11,1067.36,0.71434,0.59085,0.94246,0.95543,0.92267,0.95595,0.83326,0.70896,0.3918,0.92601,0.0001802,0.0001802,0.0001802
12,1163.13,0.6965,0.56107,0.94046,0.96627,0.93015,0.98003,0.86259,0.6671,0.35782,0.91515,0.00017822,0.00017822,0.00017822
13,1258.9,0.66629,0.54505,0.92767,0.96747,0.94148,0.98022,0.87254,0.63803,0.35102,0.90216,0.00017624,0.00017624,0.00017624
14,1354.92,0.65806,0.53246,0.92146,0.9671,0.93302,0.97167,0.84874,0.66526,0.34872,0.9178,0.00017426,0.00017426,0.00017426
15,1450.22,0.64314,0.51402,0.9189,0.97547,0.95275,0.99059,0.87776,0.63512,0.32932,0.90279,0.00017228,0.00017228,0.00017228
16,1546.68,0.64066,0.52166,0.92199,0.96136,0.94464,0.96516,0.85165,0.65085,0.38404,0.9173,0.0001703,0.0001703,0.0001703
17,1642.28,0.60934,0.493,0.90521,0.96988,0.94347,0.96025,0.86198,0.58083,0.34169,0.87879,0.00016832,0.00016832,0.00016832
18,1738.02,0.60909,0.47136,0.90613,0.96677,0.95269,0.98376,0.88288,0.59299,0.32291,0.88725,0.00016634,0.00016634,0.00016634
19,1833.79,0.5934,0.48027,0.90139,0.97486,0.93522,0.96214,0.86495,0.58965,0.32962,0.88461,0.00016436,0.00016436,0.00016436
20,1929.3,0.58428,0.47609,0.90153,0.97323,0.96061,0.98746,0.89794,0.56588,0.30121,0.87028,0.00016238,0.00016238,0.00016238
21,2024.85,0.56846,0.44329,0.89417,0.97889,0.95105,0.96377,0.87799,0.56897,0.31805,0.87456,0.0001604,0.0001604,0.0001604
22,2120.29,0.57174,0.44464,0.89256,0.98391,0.94808,0.96413,0.87512,0.55933,0.30762,0.87617,0.00015842,0.00015842,0.00015842
23,2216.4,0.55613,0.43762,0.88794,0.98105,0.95052,0.96281,0.87668,0.54653,0.30757,0.86805,0.00015644,0.00015644,0.00015644
24,2312.17,0.55251,0.43497,0.88679,0.98021,0.93864,0.96115,0.87697,0.52687,0.30289,0.85779,0.00015446,0.00015446,0.00015446
25,2407.58,0.53647,0.41672,0.88599,0.98669,0.94077,0.96277,0.87948,0.538,0.3009,0.86747,0.00015248,0.00015248,0.00015248
26,2503.64,0.53718,0.4292,0.89007,0.98399,0.9495,0.96523,0.88635,0.52028,0.29556,0.85808,0.0001505,0.0001505,0.0001505
27,2599.18,0.52558,0.41167,0.88051,0.98313,0.9443,0.96045,0.88416,0.51999,0.31326,0.85829,0.00014852,0.00014852,0.00014852
28,2694.79,0.5307,0.40981,0.88228,0.98822,0.95241,0.96368,0.89127,0.51508,0.29285,0.86128,0.00014654,0.00014654,0.00014654
29,2790.22,0.51186,0.39454,0.87376,0.98095,0.95296,0.96498,0.89536,0.52032,0.28907,0.85844,0.00014456,0.00014456,0.00014456
30,2885.75,0.5109,0.39263,0.87845,0.97384,0.94727,0.965,0.89038,0.51266,0.29287,0.85763,0.00014258,0.00014258,0.00014258
31,2981.52,0.4962,0.37595,0.87117,0.98424,0.94957,0.96449,0.89459,0.48621,0.281,0.84587,0.0001406,0.0001406,0.0001406
32,3077.2,0.50013,0.3808,0.87133,0.98586,0.946,0.96496,0.89311,0.49864,0.28529,0.85159,0.00013862,0.00013862,0.00013862
33,3172.82,0.48612,0.37353,0.86743,0.98565,0.94961,0.96482,0.89095,0.49302,0.28082,0.84799,0.00013664,0.00013664,0.00013664
34,3268.38,0.47783,0.36792,0.86641,0.97811,0.95381,0.96733,0.89389,0.48514,0.27552,0.84996,0.00013466,0.00013466,0.00013466
35,3364.09,0.48184,0.36826,0.86737,0.98668,0.95221,0.9672,0.90267,0.47622,0.26429,0.84435,0.00013268,0.00013268,0.00013268
36,3460.24,0.4709,0.35417,0.86531,0.98534,0.94529,0.96456,0.88841,0.48624,0.27807,0.8524,0.0001307,0.0001307,0.0001307
37,3556,0.47013,0.3635,0.86352,0.98468,0.95155,0.96796,0.90086,0.46511,0.26672,0.84267,0.00012872,0.00012872,0.00012872
38,3651.62,0.44985,0.34898,0.85637,0.97989,0.95233,0.96339,0.90116,0.46246,0.27413,0.8441,0.00012674,0.00012674,0.00012674
39,3747.61,0.45564,0.34544,0.85645,0.99084,0.95074,0.96834,0.90801,0.46635,0.25566,0.84581,0.00012476,0.00012476,0.00012476
40,3843.65,0.45577,0.34624,0.86228,0.98717,0.95093,0.96592,0.90376,0.45827,0.26608,0.84441,0.00012278,0.00012278,0.00012278
41,3939.72,0.44852,0.3486,0.85768,0.98591,0.94787,0.96514,0.90208,0.45771,0.27546,0.84162,0.0001208,0.0001208,0.0001208
42,4035.5,0.44935,0.34451,0.857,0.98852,0.95102,0.96719,0.90493,0.45794,0.2559,0.8425,0.00011882,0.00011882,0.00011882
43,4131.53,0.44021,0.3396,0.8559,0.98397,0.9534,0.96463,0.90293,0.45944,0.28714,0.84593,0.00011684,0.00011684,0.00011684
44,4227.48,0.44204,0.33145,0.85548,0.9782,0.95184,0.96203,0.90036,0.44439,0.26991,0.83779,0.00011486,0.00011486,0.00011486
45,4323.63,0.43626,0.32568,0.85546,0.98843,0.95288,0.96538,0.91055,0.44176,0.26342,0.83894,0.00011288,0.00011288,0.00011288
46,4419.79,0.42735,0.32659,0.85237,0.9902,0.95049,0.96582,0.90778,0.43578,0.26081,0.83555,0.0001109,0.0001109,0.0001109
47,4515.46,0.42298,0.32052,0.85182,0.98783,0.95148,0.96685,0.91474,0.43337,0.25136,0.83742,0.00010892,0.00010892,0.00010892
48,4611.67,0.42599,0.32475,0.85437,0.9837,0.9531,0.96656,0.90573,0.45161,0.26799,0.84356,0.00010694,0.00010694,0.00010694
49,4707.32,0.41807,0.32268,0.84993,0.98245,0.95253,0.96391,0.90694,0.44145,0.26953,0.84208,0.00010496,0.00010496,0.00010496
50,4803.35,0.4115,0.31919,0.85085,0.98322,0.95347,0.96533,0.91277,0.42919,0.25263,0.83548,0.00010298,0.00010298,0.00010298
51,4899.17,0.4077,0.30661,0.84464,0.98335,0.95076,0.9669,0.91624,0.42173,0.25957,0.83122,0.000101,0.000101,0.000101
52,4995.33,0.41069,0.31585,0.84607,0.97834,0.94833,0.96693,0.91802,0.42882,0.24868,0.83465,9.902e-05,9.902e-05,9.902e-05
53,5091.57,0.39919,0.3083,0.84556,0.98445,0.94871,0.96799,0.91726,0.43793,0.25668,0.83783,9.704e-05,9.704e-05,9.704e-05
54,5187.47,0.39181,0.29621,0.84323,0.98512,0.95275,0.96746,0.91708,0.41738,0.2524,0.83176,9.506e-05,9.506e-05,9.506e-05
55,5283.68,0.39475,0.29894,0.8447,0.98956,0.95227,0.96775,0.91685,0.42912,0.24388,0.83735,9.308e-05,9.308e-05,9.308e-05
56,5379.73,0.38542,0.29442,0.84144,0.98811,0.9495,0.96859,0.91797,0.42138,0.24308,0.83255,9.11e-05,9.11e-05,9.11e-05
57,5475.9,0.38769,0.29234,0.84135,0.98663,0.95312,0.96902,0.9206,0.41717,0.23935,0.82914,8.912e-05,8.912e-05,8.912e-05
58,5572.13,0.38704,0.2907,0.83896,0.99096,0.95092,0.96962,0.92019,0.41281,0.22876,0.82948,8.714e-05,8.714e-05,8.714e-05
59,5668.37,0.38258,0.2912,0.8394,0.98425,0.9515,0.96806,0.92354,0.4088,0.24073,0.83192,8.516e-05,8.516e-05,8.516e-05
60,5764.95,0.38176,0.29553,0.83943,0.98623,0.95246,0.96746,0.91674,0.40989,0.23443,0.82944,8.318e-05,8.318e-05,8.318e-05
61,5862.11,0.37486,0.28237,0.8391,0.98262,0.9495,0.96776,0.91867,0.41762,0.23261,0.83276,8.12e-05,8.12e-05,8.12e-05
62,5958.22,0.38419,0.28152,0.83959,0.98812,0.95359,0.9687,0.92759,0.40242,0.22996,0.82885,7.922e-05,7.922e-05,7.922e-05
63,6054.82,0.3695,0.28847,0.83864,0.98605,0.95482,0.96846,0.92456,0.40579,0.23967,0.8285,7.724e-05,7.724e-05,7.724e-05
64,6151.4,0.3688,0.27858,0.83565,0.98398,0.95393,0.9658,0.92559,0.40724,0.24442,0.83081,7.526e-05,7.526e-05,7.526e-05
65,6247.47,0.3626,0.27144,0.83217,0.9864,0.9538,0.96674,0.92052,0.40215,0.23513,0.82876,7.328e-05,7.328e-05,7.328e-05
66,6341.51,0.36449,0.27216,0.8368,0.98714,0.95424,0.96961,0.92655,0.39957,0.22107,0.82847,7.13e-05,7.13e-05,7.13e-05
67,6434.42,0.3572,0.26568,0.83373,0.98433,0.95467,0.96897,0.92596,0.39933,0.22499,0.8284,6.932e-05,6.932e-05,6.932e-05
68,6527.03,0.35729,0.27182,0.83368,0.98718,0.9551,0.96712,0.92518,0.39831,0.22612,0.82582,6.734e-05,6.734e-05,6.734e-05
69,6623.62,0.35182,0.26775,0.83413,0.98386,0.95452,0.96553,0.92297,0.38973,0.22524,0.8236,6.536e-05,6.536e-05,6.536e-05
70,6719.98,0.35227,0.26488,0.82828,0.98186,0.9548,0.96239,0.91975,0.39184,0.22513,0.82309,6.338e-05,6.338e-05,6.338e-05
71,6814.61,0.3474,0.25709,0.8311,0.98279,0.95427,0.96803,0.92869,0.38945,0.22497,0.82286,6.14e-05,6.14e-05,6.14e-05
72,6909.58,0.34203,0.25253,0.83133,0.98046,0.95557,0.96763,0.92999,0.38594,0.22258,0.82363,5.942e-05,5.942e-05,5.942e-05
73,7005.19,0.34011,0.25096,0.82818,0.98338,0.95432,0.96882,0.93013,0.39089,0.21905,0.82464,5.744e-05,5.744e-05,5.744e-05
74,7100.41,0.33889,0.25481,0.82889,0.98372,0.9545,0.96759,0.92916,0.38234,0.22269,0.82169,5.546e-05,5.546e-05,5.546e-05
75,7195.51,0.33035,0.26032,0.82502,0.98258,0.95342,0.96636,0.9293,0.38172,0.22565,0.82286,5.348e-05,5.348e-05,5.348e-05
76,7290.72,0.33708,0.25013,0.83145,0.98297,0.95288,0.96714,0.92633,0.38369,0.22511,0.82499,5.15e-05,5.15e-05,5.15e-05
77,7385.75,0.33393,0.24543,0.82724,0.98793,0.95355,0.96727,0.9296,0.38682,0.21754,0.82601,4.952e-05,4.952e-05,4.952e-05
78,7480.73,0.33107,0.24594,0.82911,0.98403,0.95498,0.96537,0.92783,0.38126,0.21718,0.82655,4.754e-05,4.754e-05,4.754e-05
79,7575.91,0.32411,0.24285,0.8272,0.98283,0.95374,0.96899,0.93174,0.38486,0.21376,0.82449,4.556e-05,4.556e-05,4.556e-05
80,7671.09,0.32633,0.24838,0.82845,0.98614,0.95399,0.96841,0.93464,0.37493,0.20839,0.81997,4.358e-05,4.358e-05,4.358e-05
81,7766.2,0.32381,0.24132,0.82657,0.98524,0.95378,0.96861,0.93368,0.37173,0.20897,0.82134,4.16e-05,4.16e-05,4.16e-05
82,7860.13,0.31703,0.23952,0.82332,0.98831,0.95357,0.97089,0.938,0.37058,0.20802,0.82138,3.962e-05,3.962e-05,3.962e-05
83,7953.1,0.32308,0.24328,0.82677,0.98944,0.95422,0.97022,0.93436,0.36924,0.20811,0.8195,3.764e-05,3.764e-05,3.764e-05
84,8045.51,0.31288,0.23265,0.82093,0.98791,0.95431,0.9708,0.93576,0.36951,0.2075,0.82063,3.566e-05,3.566e-05,3.566e-05
85,8139.72,0.3054,0.23286,0.81849,0.98673,0.95404,0.96941,0.93665,0.36878,0.20498,0.81925,3.368e-05,3.368e-05,3.368e-05
86,8233.4,0.31149,0.23473,0.82309,0.98712,0.95388,0.96939,0.93513,0.37049,0.20523,0.81993,3.17e-05,3.17e-05,3.17e-05
87,8328.2,0.31288,0.2351,0.8247,0.98769,0.95449,0.96838,0.93461,0.36763,0.20654,0.82019,2.972e-05,2.972e-05,2.972e-05
88,8422.17,0.3098,0.22874,0.82305,0.98803,0.95363,0.96906,0.93868,0.36677,0.2013,0.81926,2.774e-05,2.774e-05,2.774e-05
89,8516.54,0.311,0.2326,0.82688,0.98761,0.95383,0.96875,0.93723,0.36514,0.20491,0.82067,2.576e-05,2.576e-05,2.576e-05
90,8610.79,0.30254,0.22756,0.8222,0.98744,0.95355,0.96904,0.93672,0.36312,0.20427,0.82165,2.378e-05,2.378e-05,2.378e-05
91,8726.83,0.27388,0.17908,0.79819,0.9886,0.95422,0.96752,0.93309,0.37371,0.20755,0.82364,2.18e-05,2.18e-05,2.18e-05
92,8819.9,0.26669,0.17531,0.79689,0.98705,0.95431,0.96843,0.93673,0.3704,0.20475,0.82157,1.982e-05,1.982e-05,1.982e-05
93,8912.99,0.25542,0.16641,0.79378,0.98841,0.95379,0.96889,0.93832,0.36854,0.20281,0.82076,1.784e-05,1.784e-05,1.784e-05
94,9006.27,0.25595,0.16887,0.79405,0.98816,0.95407,0.96875,0.93833,0.37032,0.20226,0.82134,1.586e-05,1.586e-05,1.586e-05
95,9099.35,0.25412,0.16714,0.79471,0.98677,0.95513,0.96897,0.93782,0.36658,0.20132,0.82044,1.388e-05,1.388e-05,1.388e-05
96,9192.51,0.25136,0.16553,0.79468,0.98639,0.95553,0.96872,0.9406,0.36274,0.19882,0.81932,1.19e-05,1.19e-05,1.19e-05
97,9288.32,0.2497,0.17529,0.79611,0.98663,0.95511,0.96894,0.93902,0.36331,0.20014,0.81984,9.92e-06,9.92e-06,9.92e-06
98,9385.31,0.24677,0.16213,0.79119,0.98627,0.95481,0.96888,0.9398,0.36132,0.19937,0.82009,7.94e-06,7.94e-06,7.94e-06
99,9486.95,0.24717,0.16276,0.7934,0.9864,0.95512,0.96908,0.93961,0.36341,0.19933,0.82028,5.96e-06,5.96e-06,5.96e-06
100,9588.21,0.24156,0.16045,0.79153,0.98704,0.95466,0.96913,0.94109,0.36118,0.19828,0.81895,3.98e-06,3.98e-06,3.98e-06
